driver,gender,years_exp,bus_unit,d_type,age,n_trip,ping_speed,distance,travel_time,n_crash,fatalities,injuries,sce_CM,sce_HB,sce_HW,sce_RS,sce_N
d26399,M,3.9,Intermodal,REG,42,5,20.996,335.391,727.733,1,0,0,0,0,0,0,0
d29258,M,1.5,Final-mile,REG,32,775,36.057,144643.658,194423.073,2,0,0,8,15,24,0,47
d08661,M,11.7,Intermodal,LOC,57,1054,21.5951271347249,97614.514,239420.456,0,0,0,2,124,1,0,127
d15681,M,4.1,Intermodal,REG,44,5,26.2986,1131.018,2140.1,0,0,0,0,0,0,0,0
d09387,M,3.1,Dedicated,OTR,61,722,43.3694750692521,72750.292,101213.341,3,0,0,6,0,0,0,6
d01664,M,2,Dedicated,REG,46,115,37.6992695652174,18847.275,27066.498,0,0,0,0,0,0,0,0
d13350,M,0.2,Dedicated,REG,36,187,34.389871657754,29129.023,45046.636,1,0,0,0,1,0,0,1
d00825,M,2.2,Intermodal,REG,35,823,35.6112187120292,93992.512,105207.501,3,0,0,3,2,0,0,5
d31175,M,3.1,Intermodal,LOC,43,39,26.5802820512821,4826.544,9204.47,0,0,0,0,0,0,0,0
d13565,M,7.5,Dedicated,LOC,40,351,31.6377635327635,39817.093,66238.66,0,0,0,1,2,0,0,3
d17538,M,2.2,Dedicated,LOC,55,617,24.3294651539708,46142.3200000001,99589.134,0,0,0,9,7,5,0,21
d20781,M,6.2,Final-mile,REG,38,5,41.6314,647.34,983.033,0,0,0,0,0,0,0,0
d28448,M,1.5,Dedicated,LOC,41,720,31.9506569444444,77276.186,130682.128,8,0,0,0,4,3,0,7
d01146,M,9.1,Final-mile,REG,46,126,35.4264603174603,20205.428,27678.232,0,0,0,0,0,0,0,0
d28307,M,19.5,Final-mile,REG,56,1376,39.0928917151163,189021.018,268814.442,4,0,0,0,0,5,0,5
d01165,M,8.7,Final-mile,REG,51,912,34.7196984649123,229821.886,205848.573,3,0,0,2,14,16,0,32
d28481,M,3,Dedicated,REG,40,202,26.3064108910891,21119.324,41402.206,0,0,0,0,0,0,0,0
d31233,M,0.6,Intermodal,LOC,50,820,28.4880951219512,137152.405,253013.743,1,0,0,12,15,7,0,34
d21355,M,2.4,Dedicated,LOC,53,29,25.6382413793103,1753.688,3998.063,0,0,0,0,0,0,0,0
d20649,M,1.4,Final-mile,REG,45,729,37.2739780521262,109559.105,150942.62,0,0,0,0,25,0,0,25
d08260,M,5.5,Dedicated,LOC,44,10,19.936,424.728,895.666,0,0,0,0,0,0,0,0
d19665,M,2.1,Dedicated,LOC,47,1107,24.2443821138211,124339.76,279701.659,1,0,0,0,54,0,0,54
d06100,M,1.2,Dedicated,REG,26,854,39.9748852459016,167724.573,236672.97,0,0,0,1,13,90,0,104
d00103,M,0.7,Intermodal,LOC,32,888,16.203125,55269.349,184437.046,2,0,0,19,1,14,0,34
d24307,M,1.2,Intermodal,LOC,52,972,18.0121152263375,67506.7989999999,193875.934,2,0,0,0,30,0,0,30
d19933,M,2.6,Dedicated,LOC,51,291,25.7468075601375,27880.838,60393.796,0,0,0,0,3,0,0,3
d01741,M,7.8,Intermodal,LOC,48,933,27.9934855305466,154054.246,319255.596000001,1,0,0,0,113,9,0,122
