driver,gender,years_exp,bus_unit,d_type,age,n_trip,ping_speed,distance,travel_time,n_crash,fatalities,injuries,sce_CM,sce_HB,sce_HW,sce_RS,sce_N
d25517,M,26,Dedicated,LOC,72,662,38.5982643504532,120203.167,163227.542,0,0,0,5,13,62,0,80
d02588,M,0,Dedicated,REG,58,119,36.5192100840336,20470.925,29922.8,0,0,0,11,26,3,0,40
d18138,M,0,Intermodal,REG,68,523,35.720896749522,105216.979,157440.576,0,0,0,0,0,0,0,0
d26262,M,0,Dedicated,REG,72,173,36.0705606936416,24287.731,35493.362,0,0,0,0,0,0,0,0
d30629,M,,Dedicated,REG,61,1454,45.3167283356259,296942.359,342684.336,1,0,0,7,0,43,0,50
d15700,M,,Intermodal,LOC,59,892,27.4681121076233,196098.287,374486.101,2,0,0,2,20,28,0,50
d09193,M,,Intermodal,REG,57,1539,33.9159519168291,263940.493,428587.107,1,0,0,9,12,72,0,93
d10330,M,,Intermodal,REG,55,2273,34.8726797184338,94115.6159999999,216881.759,2,0,0,1,2,4,0,7
d28256,M,0,Dedicated,REG,65,1049,37.4011210676835,171377.927,237563.749,1,0,0,1,1,0,0,2
d31177,M,,Intermodal,LOC,63,1132,23.1794911660777,86712.3939999999,191706.415,1,0,0,0,16,0,0,16
d21677,M,16.5,Intermodal,LOC,52,189,18.7570740740741,15918.859,44628.299,0,0,0,0,0,0,0,0
d00951,M,,Intermodal,LOC,63,1436,15.6403669916435,72077.1129999999,250644.264,1,0,0,0,38,2,0,40
d11884,M,27.6,Intermodal,REG,71,1210,33.0887628099174,268162.175,429052.586,1,0,0,0,11,5,0,16
d21212,M,,Intermodal,REG,65,1225,35.3271575510204,279562.391,431549.835,1,0,0,8,6,85,0,99
d02999,M,0,Final-mile,OTR,56,66,32.2580151515152,9684.784,14327.329,1,0,0,0,2,0,0,2
d03622,M,,Intermodal,LOC,61,758,6.85421635883905,3483.75600000001,116923.021,4,0,0,1,0,0,7,8
d10749,M,0,Intermodal,LOC,76,111,27.6586936936937,12805.552,23071.562,0,0,0,0,7,1,0,8
d05878,M,0,Dedicated,REG,56,6,16.6221666666667,227.72,938.367,0,0,0,0,0,0,0,0
d21330,M,20,Final-mile,OTR,58,1627,44.4460817455439,211738.713,275738.504,4,0,0,0,0,1,0,1
d11136,M,0,Dedicated,OTR,75,450,35.0001066666667,71682.191,103887.04,1,0,0,0,9,8,0,17
d16302,M,,Dedicated,REG,56,1191,41.0260344248531,302099.357,396636.576,3,0,0,1,5,31,0,37
d14578,M,,Dedicated,REG,62,1465,32.7481883959044,279557.833,438431.158,1,0,0,1,3,4,0,8
d26191,M,,Dedicated,OTR,61,787,44.1960584498094,162450.69,207941.324,3,0,0,4,14,2,0,20
d06398,M,0,Final-mile,OTR,68,580,46.244725862069,152978.18,185326.736,3,0,0,4,6,69,0,79
d09929,M,0,Intermodal,REG,67,751,37.2456431424767,162058.245,238215.632,2,0,0,2,5,6,0,13
d18378,M,,Final-mile,REG,60,1384,40.863725433526,150627.901,198879.506,1,0,0,4,3,206,0,213
d27896,M,0,Final-mile,OTR,75,235,25.6945957446809,20884.775,41165.735,0,0,0,0,0,0,0,0
d04862,M,0,Final-mile,OTR,69,7,29.0534285714286,361.198,571.066,0,0,0,0,0,0,0,0
d17011,M,,Intermodal,REG,58,1339,36.8971538461539,292769.532,428642.553000001,1,0,0,3,5,0,0,8
d13292,M,,Dedicated,REG,57,1705,26.8286604105572,262243.246,478317.864,5,0,0,3,5,2,1,11
d12246,M,0,Intermodal,REG,71,449,30.3018040089087,74793.357,124181.777,0,0,0,0,0,0,0,0
d18191,M,21.7,Dedicated,REG,62,159,35.5053899371069,24321.123,36177.866,1,0,0,2,3,0,0,5
d09316,M,0,Final-mile,REG,65,133,38.7538195488722,29264.072,36544.966,0,0,0,1,2,0,0,3
d31308,M,16.6,Dedicated,OTR,61,894,19.0189015659955,117625.625,303000.93,0,0,0,20,13,2,1,36
d10872,M,,Dedicated,REG,62,1157,44.1064088159032,286424.808,370292.45,0,0,0,6,11,6,0,23
d07130,M,,Intermodal,REG,57,1348,33.6277255192878,214038.486,349930.453,3,0,0,15,0,125,0,140
d30922,M,0,Intermodal,REG,58,184,31.7142880434783,30324.354,47209.527,0,0,0,0,0,3,0,3
d15748,M,,Intermodal,REG,66,1207,28.8984730737365,135517.997,230906.245,3,0,0,1,5,59,0,65
d12361,M,0,Final-mile,REG,58,657,34.0552526636225,106256.422,154779.311,0,0,0,0,0,0,0,0
d24967,M,11.8,Final-mile,OTR,53,932,38.7791963519313,203681.124,308300.114,0,0,0,0,9,4,1,14
d15424,M,,Intermodal,REG,68,996,35.8281395582329,238196.131,358232.66,0,0,0,2,20,6,0,28
d17638,M,0,Intermodal,LOC,68,62,35.5232580645161,7985.204,13426.169,1,0,0,0,0,0,0,0
d22069,M,0,Intermodal,LOC,56,1569,17.2410828553219,90273.976,308155.95,2,0,0,0,16,6,0,22
d13328,M,12,Intermodal,REG,52,160,33.44543125,22989.523,34179.206,0,0,0,0,0,0,0,0
d19166,M,11.5,Dedicated,REG,58,146,18.3780410958904,12193.872,35954.765,1,0,0,2,0,1,0,3
d15285,M,,Intermodal,LOC,59,1826,15.694704271632,69560.0059999999,244392.18,3,0,0,3,5,5,0,13
d03384,M,,Intermodal,REG,55,1430,33.8830944055944,349783.856,523990.090000001,2,0,0,3,11,10,0,24
d19284,M,,Dedicated,REG,54,1788,39.9325318791946,204065.528,318144.727,2,0,0,0,7,0,0,7
d29784,M,,Dedicated,REG,54,1700,36.2876894117647,319640.713,416067.831,0,0,0,4,18,10,1,33
d24428,M,,Dedicated,REG,63,2069,31.0707332044466,203236.303,315768.003999999,2,0,0,6,5,13,0,24
d13125,M,,Intermodal,REG,68,1112,36.5094334532374,285930.427000001,424624.197,0,0,0,3,7,10,0,20
d05657,M,,Intermodal,REG,62,1181,36.8402802709568,334554.475,485218.126,4,0,0,3,0,5,0,8
d13680,M,,Intermodal,REG,54,1122,37.5149215686275,309133.628,440222.061000001,0,0,0,0,6,8,0,14
d02424,M,11.5,Dedicated,REG,62,22,21.1318181818182,1453.165,4009.868,0,0,0,0,0,0,0,0
d28533,M,,Intermodal,LOC,56,1984,17.132078125,78446.548,267192.631,1,0,0,7,10,31,0,48
d00242,M,,Intermodal,REG,60,1788,33.7746180089485,312896.989,483323.247000001,3,0,0,5,2,11,0,18
d27847,M,,Intermodal,REG,62,1538,30.53666710013,222235.825,377931.570000001,2,0,0,0,7,0,0,7
d13277,M,,Intermodal,LOC,60,1749,17.7908301886792,93892.5350000001,302879.670999999,2,0,0,2,23,0,1,26
d04947,M,,Dedicated,REG,57,1479,38.7203272481406,324470.602,436444.68,1,0,0,4,3,28,0,35
d11642,M,,Final-mile,REG,71,1481,34.8757542201215,257696.626,361187.434,2,0,0,8,15,1,0,24
d09263,M,0,Final-mile,OTR,57,87,26.3331494252874,7245.164,15296.835,0,0,0,0,0,0,0,0
d28371,M,,Intermodal,LOC,52,1237,22.8756814874697,70394.8040000001,155012.312,0,0,0,2,3,0,0,5
d30443,M,0,Final-mile,OTR,62,87,36.399459770115,17534.241,25437.161,0,0,0,0,0,0,0,0
d16217,M,,Intermodal,LOC,53,1004,17.1397589641434,63599.8649999999,206832.278,3,0,0,3,3,1,0,7
d27042,M,,Dedicated,REG,61,1713,36.9996298890835,372358.172,542793.633,0,0,0,0,0,5,0,5
d24836,M,,Final-mile,REG,56,1698,37.6556442873969,265406.872,352487.617,0,0,0,0,2,35,0,37
d28187,M,0,Final-mile,OTR,78,221,25.3988823529412,35122.221,70728.435,0,0,0,0,0,0,0,0
d15938,M,,Final-mile,REG,62,1903,36.0516205990541,274159.223,382188.769000001,0,0,0,4,2,0,0,6
d04523,M,,Final-mile,REG,64,1390,35.8493158273381,204428.528,279082.48,4,0,0,8,9,18,0,35
d18381,M,6,Dedicated,REG,57,39,33.0410769230769,4728.802,8424.367,0,0,0,0,0,0,0,0
d24625,M,13,Dedicated,REG,59,91,35.5012967032967,10471.444,15134.032,0,0,0,0,0,0,0,0
d01546,M,16.5,Intermodal,LOC,60,166,36.0917530120482,28110.171,41730.697,0,0,0,0,1,0,0,1
d25740,M,,Dedicated,REG,57,1290,41.9221767441861,324170.607,429818.453,1,0,0,0,2,7,0,9
d19210,M,0,Dedicated,OTR,57,247,34.4865344129555,40951.389,56220.307,0,0,0,0,7,0,1,8
d14783,M,,Intermodal,REG,66,1073,37.7178313140727,330200.026000001,455051.209000001,0,0,0,6,32,17,0,55
d16361,M,10.8,Dedicated,LOC,68,2103,25.1431949595816,128422.627,284466.509,1,0,0,0,13,0,0,13
d11672,M,23.2,Final-mile,OTR,56,56,38.6905357142857,1423.526,2558.535,0,0,0,0,0,0,0,0
d17954,M,15,Final-mile,OTR,77,146,32.5247328767123,19772.518,28515.404,0,0,0,0,0,0,0,0
d06601,M,3.9,Final-mile,OTR,67,180,33.3680277777778,33916.813,48044.674,0,0,0,0,0,0,0,0
d22944,M,,Intermodal,REG,54,1752,35.1156489726027,234202.665,351528.198,1,0,0,5,6,10,0,21
d20569,M,12.3,Final-mile,OTR,57,12,30.762,1570.899,2354.733,0,0,0,0,0,0,0,0
d01446,M,,Dedicated,LOC,58,773,36.0861410090556,110975.29,193750.562,2,0,0,0,105,0,0,105
d23154,M,,Intermodal,LOC,64,1681,17.0838221296847,65928.9799999999,211882.137,1,0,0,1,2,5,0,8
d29396,M,,Intermodal,REG,55,1385,35.2956281588448,268458.105,404346.836000001,2,0,0,2,4,11,0,17
d30807,M,,Dedicated,REG,67,1669,32.9909544637508,298291.16,447255.369,6,0,0,3,9,3,0,15
d14475,M,26,Intermodal,REG,58,1208,40.5093236754967,143585.818,224210.169,3,0,0,2,0,10,0,12
d27172,M,0,Intermodal,LOC,56,1475,20.7663613559322,101048.28,263585.057,1,0,0,2,22,14,0,38
d17001,M,,Intermodal,REG,53,985,34.0678639593909,296477.277,436984.02,4,0,0,1,24,19,0,44
d03605,M,,Intermodal,LOC,62,1424,28.1769016853933,220944.87,407483.965,0,0,0,0,4,60,0,64
d13421,M,0,Dedicated,OTR,73,164,33.4167317073171,27768.857,38379.333,0,0,0,0,1,5,0,6
d14780,M,0,Final-mile,REG,62,1058,33.8738752362949,155057.98,224750.456,2,0,0,0,1,0,0,1
d07939,M,0,Dedicated,LOC,55,1208,30.5098716887417,184788.374,372419.237,2,0,0,1,67,1,1,70
d01540,M,,Intermodal,REG,71,1224,34.535737745098,270174.708,411175.336,0,0,0,1,1,25,0,27
d30750,M,,Intermodal,LOC,69,2019,23.2023640416048,167858.32,384836.068,0,0,0,4,6,5,0,15
d18489,M,,Intermodal,LOC,57,1811,12.6075808945334,61714.825,292492.472,1,0,0,4,2,0,0,6
d22112,M,,Intermodal,LOC,60,1517,18.242740936058,112314.273,308372.748,1,0,0,0,0,0,0,0
d30142,M,,Intermodal,REG,82,1409,36.8512938254081,213597.59,321785.876000001,2,0,0,2,10,6,0,18
d03215,M,,Intermodal,LOC,53,967,18.3550899689762,89825.0769999999,253305.582,0,0,0,3,11,2,0,16
d25969,M,,Final-mile,REG,59,1092,37.2022820512821,162141.387,213761.103,0,0,0,0,1,0,0,1
d04014,M,,Final-mile,OTR,54,1278,36.2416737089202,208206.295,292846.609,1,0,0,6,2,0,0,8
d08438,M,17.4,Final-mile,OTR,69,237,29.0587890295359,42141.263,71076.634,0,0,0,0,0,0,0,0
d27185,M,,Intermodal,LOC,53,1787,25.9378505875769,316162.975,633486.426,2,0,0,7,56,6,6,75
d02982,M,0,Final-mile,LOC,55,907,15.4775887541345,49127.138,182893.422,2,0,0,1,34,3,0,38
d17007,M,0,Final-mile,REG,60,1071,37.8447189542484,155622.991,208569.223,0,0,0,2,2,10,0,14
d02619,M,,Intermodal,REG,61,1681,33.7173402736466,306019.107999999,482635.382,2,0,0,1,13,0,0,14
d23612,M,,Intermodal,LOC,67,1726,20.3336749710313,75451.521,230458.684,5,0,0,6,16,14,0,36
d24759,M,,Dedicated,REG,66,1505,17.6689315614618,46099.06,186824.584,1,0,0,0,8,6,0,14
d09704,M,7.5,Final-mile,OTR,63,901,30.7645593784684,120052.585,177689.994,1,0,0,1,1,0,0,2
d11446,M,,Dedicated,REG,62,1133,42.7567537511033,301861.505,398148.179,3,0,0,0,4,10,5,19
d26560,M,,Intermodal,LOC,56,1595,19.3841347962382,75083.6479999999,225541.758,4,0,0,7,17,0,0,24
d05694,M,0,Dedicated,REG,77,453,32.9645938189845,54747.606,82357.337,0,0,0,0,1,1,0,2
d28536,M,11.9,Final-mile,OTR,61,415,32.1544939759036,56492.645,85234.132,0,0,0,0,2,0,0,2
d30838,M,0,Final-mile,OTR,64,77,35.751987012987,11167.438,15404.633,0,0,0,0,0,0,0,0
d26550,M,0,Final-mile,OTR,76,44,14.6098181818182,2105.411,8325.9,0,0,0,0,0,0,0,0
d29810,M,,Dedicated,REG,61,1439,38.7339305072967,434421.258000001,426398.803,1,0,0,0,1,2,0,3
d02034,M,0,Final-mile,OTR,51,1921,35.2747334721499,302443.617,416189.582,1,0,0,0,6,0,0,6
d12182,M,19.5,Dedicated,OTR,61,258,40.453019379845,53780.142,69622.8750000001,0,0,0,0,0,0,0,0
d22621,M,,Dedicated,OTR,61,1418,43.5002425952045,274704.289,356405.604000001,1,0,0,0,0,0,0,0
d23910,M,0,Final-mile,OTR,50,370,31.9689486486487,49591.8520000001,79144.4990000001,4,0,0,7,2,12,0,21
d11707,M,,Final-mile,REG,52,1459,31.9455298149417,178091.548,261328.323,1,0,0,1,7,8,0,16
d22697,M,0,Intermodal,LOC,61,280,24.4963392857143,26940.882,61139.568,0,0,0,0,0,0,0,0
d30391,M,,Final-mile,REG,52,1813,29.3677087699945,235625.756,398735.336,1,0,0,1,2,0,0,3
d10248,M,,Intermodal,LOC,62,1943,24.1848785383428,136675.938,304284.949,0,0,0,4,3,8,0,15
d20145,M,10.4,Intermodal,REG,53,17,29.4044117647059,1866.723,3161.367,0,0,0,0,0,0,0,0
d08132,M,,Intermodal,LOC,64,1765,27.9009926345609,118681.205,274370.128,2,0,0,2,8,0,0,10
d15934,M,,Dedicated,REG,65,2237,38.1857948144837,278869.078,402511.952000001,2,0,0,0,1,0,0,1
d16092,M,0,Final-mile,REG,66,839,33.57363170441,131552.776,189303.917,3,0,0,1,4,1,0,6
d29777,M,1.1,Intermodal,LOC,58,1504,27.0673843085106,247706.56,436392.269999999,1,0,0,6,21,21,1,49
d17535,M,6.4,Dedicated,OTR,66,491,43.088150712831,120722.304,158361.306,0,0,0,0,0,0,0,0
d30448,M,,Intermodal,REG,60,1691,34.673372560615,320160.204,501681.056,1,0,0,2,5,3,0,10
d00741,M,0,Intermodal,LOC,50,2236,21.2351802325581,109322.267,309080.487,1,0,0,4,11,4,0,19
d11050,M,,Intermodal,LOC,55,897,10.648624303233,12686.725,87666.93,0,0,0,1,1,2,0,4
d03608,M,16.5,Final-mile,OTR,65,620,42.4975741935484,124357.553,154956.796,1,0,0,3,3,0,0,6
d24443,M,,Intermodal,LOC,55,1959,13.2445553854007,55712.385,231838.572,0,0,0,3,24,31,0,58
d10419,M,,Intermodal,LOC,52,2183,16.389451672011,82590.59,288211.77,1,0,0,5,10,17,0,32
d30985,M,0,Final-mile,OTR,55,336,27.0516160714286,55377.382,106874.698,5,0,0,0,26,2,0,28
d11222,M,0,Intermodal,LOC,50,1399,40.640502501787,309489.989,426509.106,4,0,0,0,4,1,0,5
d25681,M,,Dedicated,REG,52,1499,41.8879292861908,210687.448,288645.792,1,0,0,1,0,1,1,3
d22084,M,23.4,Intermodal,LOC,60,199,21.4920150753769,33287.077,74152.867,0,0,0,0,0,0,0,0
d13581,M,9.6,Dedicated,OTR,50,527,43.2835104364326,118464.611,147290.773,0,0,0,0,0,0,0,0
d14283,M,0,Dedicated,OTR,78,717,28.8018410041841,88046.181,139738.463,3,0,0,0,10,3,1,14
d11718,M,,Intermodal,LOC,56,1756,16.3874066059226,79489.9569999999,278221.16,4,0,0,3,0,0,0,3
d20505,M,,Intermodal,LOC,65,2129,23.6068304368248,239870.743,531763.278999999,0,0,0,2,17,0,0,19
d14764,M,,Intermodal,LOC,51,1549,24.4914448030988,128671.03,268036.301,3,0,0,0,22,0,0,22
d23585,M,0,Final-mile,REG,55,1150,33.3513513043478,146106.036,214463.925,1,0,0,0,1,0,0,1
d12254,M,22.3,Dedicated,OTR,51,145,37.1149793103448,22821.777,31262.796,0,0,0,0,0,0,0,0
d05888,M,,Intermodal,REG,66,1305,33.5764475095785,225095.154,354410.63,0,0,0,1,5,1,0,7
d26735,M,0,Intermodal,REG,56,275,37.00616,101410.511,149520.472,0,0,0,0,0,0,0,0
d13231,M,,Intermodal,REG,55,1180,35.1558483050848,314611.966,482530.341000001,3,0,0,1,2,1,0,4
d26806,M,0,Dedicated,OTR,67,751,42.5429121171771,170811.092,207433.971,2,0,0,0,0,0,0,0
d08179,M,0.5,Intermodal,REG,50,347,35.3338847262248,86214.294,133756.132,0,0,0,1,2,0,0,3
d03849,M,,Intermodal,REG,52,1156,37.2845951557093,367147.137000001,519158.765,3,0,0,1,9,1,0,11
d01702,M,14.4,Dedicated,REG,58,431,33.2995429234339,70719.323,114257.727,0,0,0,0,0,0,0,0
d20512,M,,Intermodal,LOC,60,1815,18.9514275482094,114180.31,320985.006000001,1,0,0,1,0,0,2,3
d03965,M,,Intermodal,LOC,52,1747,19.6728088151116,111350.477,310354.566,0,0,0,1,11,4,0,16
d00907,M,0,Dedicated,REG,61,114,33.5411578947368,17831.086,26581.564,0,0,0,0,0,0,0,0
d00577,M,,Intermodal,LOC,52,1097,17.1979553327256,49478.07,167090.568,3,0,0,27,0,58,1,86
d16392,M,0,Final-mile,OTR,66,474,28.9210717299578,4963.465,11073.468,0,0,0,0,0,2,0,2
d01614,M,,Intermodal,REG,57,1089,34.3435757575758,311838.671,468272.698,1,0,0,0,8,5,0,13
d27463,M,1.8,Intermodal,REG,55,52,26.1684423076923,8258.413,14133.631,0,0,0,0,0,0,0,0
d28313,M,,Intermodal,REG,60,757,37.9900330250991,225435.16,325928.695,4,0,0,3,9,6,0,18
d06223,M,14.5,Dedicated,OTR,62,54,17.0175555555556,1703.98,5578.465,0,0,0,0,0,0,0,0
d09226,M,,Intermodal,LOC,71,1638,31.7688095238095,161779.624,296467.929999999,0,0,0,6,9,25,0,40
d28989,M,0,Dedicated,LOC,75,395,26.8979544303798,33253.553,61349.636,4,0,0,3,4,12,0,19
d21742,M,0,Intermodal,REG,52,1661,32.3982498494883,362390.940000001,600058.615,1,0,0,0,3,1,0,4
d15502,M,,Dedicated,OTR,58,1236,46.6089870550162,237409.93,272574.639,0,0,0,1,3,9,0,13
d05450,M,5.7,Dedicated,REG,60,571,32.9879649737303,77296.4559999999,120875.484,0,0,0,0,0,0,0,0
d16808,M,21.7,Dedicated,OTR,53,1559,44.3298755612572,185304.505,238174.177,1,0,0,3,7,24,0,34
d17867,M,,Intermodal,LOC,56,1239,27.5551218724778,194245.477,337576.874,2,0,0,9,15,52,0,76
d19158,M,12.7,Final-mile,OTR,55,1081,23.5921794634598,62384.0420000001,178924.87,1,0,0,0,1,0,0,1
d28503,M,0,Final-mile,REG,59,332,35.8259186746988,47979.055,64415.331,0,0,0,0,0,0,0,0
d01532,M,0,Final-mile,REG,58,1419,33.0087188160677,366980.285,444509.871,2,0,0,2,5,11,0,18
d22786,M,,Final-mile,REG,59,1029,35.0462876579203,156652.54,226080.839,0,0,0,0,6,15,0,21
d02912,M,,Intermodal,LOC,51,1812,17.7446506622517,67342.767,204149.968,0,0,0,2,4,10,0,16
d10936,M,11.7,Final-mile,OTR,54,25,28.16876,2795.855,4382.133,0,0,0,0,0,0,0,0
d07580,M,0,Intermodal,REG,52,827,21.9524727932285,63031.7849999999,141492.725,2,0,0,2,82,0,0,84
d13688,M,24.3,Intermodal,LOC,52,2131,27.375314406382,118743.521,237865.934,2,0,0,6,19,24,0,49
d29607,M,,Intermodal,REG,58,1387,35.6571989906273,293776.072,440367.904,3,0,0,3,7,7,0,17
d18349,M,,Intermodal,REG,62,1440,35.3511833333333,250612.897,386879.127,2,0,0,1,3,5,0,9
d26632,M,4.3,Dedicated,REG,54,196,34.985612244898,25637.177,37245.794,0,0,0,0,0,0,0,0
d30228,M,,Dedicated,OTR,58,1725,43.8166771014493,193027.328,247357.516,1,0,0,1,6,5,0,12
d18594,M,,Final-mile,REG,65,1422,34.5426125175809,230540.377,319522.900000001,1,0,0,1,6,18,0,25
d27776,M,10,Intermodal,LOC,49,107,22.6295046728972,10829.532,26653.767,0,0,0,0,0,0,0,0
d30381,M,0,Intermodal,REG,67,1388,33.7421347262248,277901.348,443258.072,3,0,0,3,3,2,0,8
d16349,M,,Final-mile,REG,55,1817,37.6543015960374,278287.922,377814.384999999,5,0,0,2,5,0,0,7
d17703,M,13.2,Final-mile,OTR,61,1389,35.803305975522,238850.75,342073.408,1,0,0,1,2,0,0,3
d02500,M,0,Intermodal,LOC,62,714,26.4473053221289,120788.393,257740.386,1,0,0,4,3,13,0,20
d12055,M,,Dedicated,REG,58,1095,36.4275141552511,162149.129,248062.845,2,0,0,0,3,2,0,5
d17111,M,,Intermodal,LOC,60,1490,19.4378503355705,90553.7830000002,286554.5,6,0,0,8,16,5,1,30
d23120,M,,Intermodal,LOC,55,1111,22.3555229522952,134901.879,321605.112,1,0,0,7,16,17,0,40
d10822,M,19,Dedicated,REG,68,833,36.8028331332533,136373.232,192903.459,2,0,1,1,2,4,0,7
d13282,M,0,Intermodal,LOC,50,872,18.7973383027523,86080.101,223248.966,1,0,0,2,3,3,0,8
d15574,M,,Intermodal,LOC,51,860,20.0474372093023,107501.774,310483.339000001,1,0,0,12,47,79,4,142
d30263,M,,Dedicated,LOC,50,1569,37.9118362014022,258974.565,383928.438,2,0,0,1,15,0,0,16
d13414,M,,Final-mile,REG,51,1241,34.9853231265109,209977.365,299848.72,2,0,0,19,7,13,0,39
d00430,M,,Intermodal,LOC,59,1632,21.0296421568627,128009.058,334911.717,2,0,0,0,10,0,0,10
d11151,M,24.4,Final-mile,REG,61,2119,31.8848862671071,274785.156,416411.885000001,3,0,0,3,6,10,0,19
d23514,M,,Intermodal,REG,62,1666,32.0335570228091,256027.817,408270.297,1,0,0,0,2,0,0,2
d24038,M,17.2,Intermodal,LOC,50,593,32.5736306913997,102286.082,178258.262,0,0,0,0,0,0,0,0
d25289,M,0,Dedicated,OTR,64,352,36.7188125,60010.309,84112.788,2,0,0,1,3,11,0,15
d30125,M,,Dedicated,OTR,56,1263,44.2342692003167,267794.18,316478.132,2,0,0,0,0,3,0,3
d08328,M,,Intermodal,LOC,50,2259,16.6793864541833,60648.3590000001,225342.975,1,0,0,6,7,16,0,29
d15532,M,2.5,Intermodal,REG,54,34,20.9945,4017.379,8976.835,0,0,0,0,0,0,0,0
d00896,M,,Intermodal,REG,66,1232,33.0963733766234,240365.975,400816.004,1,0,0,7,6,6,0,19
d05785,M,,Intermodal,LOC,63,1195,20.9579313807531,101586.308,277764.204,1,0,0,0,9,0,0,9
d08579,M,3,Final-mile,OTR,60,135,36.7592296296296,20092.085,27894.101,0,0,0,0,0,0,0,0
d08134,M,,Intermodal,REG,72,865,33.9545352601156,153666.935,243676.256,2,0,0,7,6,0,0,13
d12271,M,,Intermodal,REG,53,1085,33.1990055299539,269216.059,410495.08,1,0,0,0,4,7,0,11
d20323,M,,Dedicated,REG,59,1723,42.0019651770168,266201.559000001,341329.536,1,0,0,0,0,1,0,1
d29888,M,,Dedicated,OTR,52,1321,50.7484814534444,299432.716,332248.026,4,0,0,2,1,4,0,7
d01846,M,12.6,Dedicated,OTR,58,85,45.0790941176471,34661.265,43637.401,0,0,0,0,0,0,0,0
d11039,M,,Intermodal,LOC,53,1528,20.0848697643979,128615.212,350629.426,0,0,0,7,12,23,0,42
d19868,M,,Intermodal,LOC,58,1457,13.3793761153054,63475.672,263446.7,2,0,0,1,1,0,0,2
d28951,M,0,Intermodal,LOC,62,677,16.7923840472674,34072.992,95324.135,0,0,0,0,0,0,0,0
d23808,M,,Dedicated,LOC,58,2015,18.6888868486352,72673.5890000001,243522.139,2,0,0,2,3,0,0,5
d28587,M,,Intermodal,REG,52,1247,30.3999703287891,191713.044,324444.668,1,0,0,1,5,2,0,8
d28981,M,,Dedicated,LOC,72,1220,25.1704237704918,59042.8329999999,158427.074,1,0,0,0,4,0,0,4
d29981,M,0,Intermodal,LOC,62,10,26.2668,238.978,856.934,0,0,0,0,0,0,0,0
d31512,M,0,Intermodal,LOC,65,832,18.1159278846154,66232.489,207355.621,2,0,0,5,4,1,0,10
d26072,M,,Intermodal,LOC,56,1506,26.5755750332005,69163.9850000001,150986.678,2,0,0,0,0,3,0,3
d27189,M,0,Intermodal,REG,64,176,34.5176534090909,48085.194,72495.768,0,0,0,0,0,0,0,0
d00338,M,,Intermodal,LOC,71,1322,23.6758850226929,141397.17,329967.373,3,0,0,4,2,15,0,21
d26731,M,,Final-mile,REG,64,1930,34.6716797927461,291200.14,400192.454999999,3,0,0,1,5,0,0,6
d31664,M,0,Dedicated,REG,57,2016,35.2405133928571,292794.01,378753.732,3,0,0,7,3,3,0,13
d28169,M,0,Intermodal,LOC,81,318,30.6624937106918,18552.121,35653.554,0,0,0,0,0,0,0,0
d13692,M,,Intermodal,REG,51,1411,36.1750134656272,388786.931000001,572869.656000001,2,0,0,4,9,4,0,17
d19603,M,,Intermodal,LOC,52,1703,18.1177927187317,79452.152,246186.939,0,0,0,6,15,3,0,24
d22809,M,13.5,Dedicated,OTR,49,286,38.0667727272727,65139.1940000001,88015.593,2,0,0,0,4,3,0,7
d08682,M,,Intermodal,REG,51,1601,35.9433653966271,336674.584,487119.092,0,0,0,4,5,4,0,13
d19648,M,,Dedicated,OTR,56,1240,44.9257733870968,361164.781,452921.144,1,0,0,1,18,13,0,32
d10697,M,0,Intermodal,LOC,63,1907,24.8915359202937,117432.796,258578.609,2,0,0,3,4,4,0,11
d11575,M,,Intermodal,LOC,59,1660,21.6966240963855,113504.244,272726.489,0,0,0,2,14,16,0,32
d07921,M,12.5,Final-mile,OTR,58,414,30.2165676328502,57391.153,95466.3049999999,0,0,0,0,0,0,0,0
d13804,M,,Intermodal,REG,69,1160,34.5497189655172,268643.975,408355.802,2,0,0,2,18,18,0,38
d29570,M,21.3,Intermodal,LOC,55,1640,21.3397573170732,169781.904,398600.239,4,0,0,7,8,3,0,18
d00566,M,6.8,Dedicated,REG,63,1058,33.1698884688091,121612.172,192833.167,0,0,0,12,15,26,0,53
d28674,M,,Dedicated,OTR,57,1492,40.2194269436997,375576.999,527124.502,1,0,0,0,8,6,0,14
d25269,M,24.9,Intermodal,REG,58,899,31.4656952169077,109538.078,163589.792,0,0,0,1,8,0,0,9
d27768,M,,Intermodal,LOC,63,1414,20.0855374823197,101666.189,291676.277,2,0,0,11,40,11,0,62
d23859,M,,Intermodal,REG,66,1180,31.7258915254237,226743.647,361078.369,5,0,0,1,7,1,0,9
d17790,M,,Intermodal,LOC,59,1964,15.0756644602851,66033.867,265246.364,2,0,0,0,10,0,0,10
d03962,M,0,Dedicated,OTR,76,10,29.7931,230.736,416.833,0,0,0,0,0,0,0,0
d08434,M,,Intermodal,LOC,69,1509,16.5935838303512,41390.668,141892.353,0,0,0,0,5,0,0,5
d08165,M,,Final-mile,REG,53,2104,39.2875033269962,237759.372,317405.352,0,0,0,12,12,3,2,29
d11485,M,,Intermodal,REG,59,822,40.3873625304136,310532.769,428787.028,1,0,0,4,2,44,0,50
d01520,M,22.2,Intermodal,REG,53,893,34.570712206047,166843.201,248962.1,0,0,0,0,0,0,0,0
d27008,M,6.5,Dedicated,OTR,50,672,40.0548229166667,100536.689,132581.885,0,0,0,0,0,0,0,0
